## Muestra el numero de rayos que golpean cada bin
## Nx =40, Ny=40
## x[m], y[m], z[W/m2]
-0.965522, -0.919243, 0
-0.965522, -0.870672, 0
-0.965522, -0.822101, 0
-0.965522, -0.77353, 0
-0.965522, -0.724959, 0
-0.965522, -0.676387, 0
-0.965522, -0.627816, 0
-0.965522, -0.579245, 0
-0.965522, -0.530674, 0
-0.965522, -0.482103, 0
-0.965522, -0.433532, 0
-0.965522, -0.384961, 0
-0.965522, -0.33639, 0
-0.965522, -0.287818, 0
-0.965522, -0.239247, 0
-0.965522, -0.190676, 0
-0.965522, -0.142105, 0
-0.965522, -0.0935339, 0
-0.965522, -0.0449627, 0
-0.965522, 0.00360839, 0
-0.965522, 0.0521795, 0
-0.965522, 0.100751, 0
-0.965522, 0.149322, 0
-0.965522, 0.197893, 0
-0.965522, 0.246464, 0
-0.965522, 0.295035, 0
-0.965522, 0.343606, 0
-0.965522, 0.392177, 0
-0.965522, 0.440749, 0
-0.965522, 0.48932, 0
-0.965522, 0.537891, 0
-0.965522, 0.586462, 0
-0.965522, 0.635033, 0
-0.965522, 0.683604, 0
-0.965522, 0.732175, 0
-0.965522, 0.780747, 0
-0.965522, 0.829318, 0
-0.965522, 0.877889, 0
-0.965522, 0.92646, 0
-0.965522, 0.975031, 0
-0.915843, -0.919243, 0
-0.915843, -0.870672, 0
-0.915843, -0.822101, 0
-0.915843, -0.77353, 0
-0.915843, -0.724959, 0
-0.915843, -0.676387, 0
-0.915843, -0.627816, 0
-0.915843, -0.579245, 0
-0.915843, -0.530674, 0
-0.915843, -0.482103, 0
-0.915843, -0.433532, 0
-0.915843, -0.384961, 0
-0.915843, -0.33639, 0
-0.915843, -0.287818, 0
-0.915843, -0.239247, 0
-0.915843, -0.190676, 0
-0.915843, -0.142105, 0
-0.915843, -0.0935339, 0
-0.915843, -0.0449627, 0.0173579
-0.915843, 0.00360839, 0
-0.915843, 0.0521795, 0.0173579
-0.915843, 0.100751, 0
-0.915843, 0.149322, 0.0347158
-0.915843, 0.197893, 0.0347158
-0.915843, 0.246464, 0.0347158
-0.915843, 0.295035, 0.0520737
-0.915843, 0.343606, 0.0173579
-0.915843, 0.392177, 0.0173579
-0.915843, 0.440749, 0.0347158
-0.915843, 0.48932, 0.0173579
-0.915843, 0.537891, 0.0173579
-0.915843, 0.586462, 0
-0.915843, 0.635033, 0
-0.915843, 0.683604, 0
-0.915843, 0.732175, 0
-0.915843, 0.780747, 0
-0.915843, 0.829318, 0
-0.915843, 0.877889, 0
-0.915843, 0.92646, 0
-0.915843, 0.975031, 0
-0.866165, -0.919243, 0
-0.866165, -0.870672, 0
-0.866165, -0.822101, 0
-0.866165, -0.77353, 0
-0.866165, -0.724959, 0
-0.866165, -0.676387, 0
-0.866165, -0.627816, 0
-0.866165, -0.579245, 0
-0.866165, -0.530674, 0
-0.866165, -0.482103, 0
-0.866165, -0.433532, 0
-0.866165, -0.384961, 0
-0.866165, -0.33639, 0
-0.866165, -0.287818, 0
-0.866165, -0.239247, 0
-0.866165, -0.190676, 0
-0.866165, -0.142105, 0
-0.866165, -0.0935339, 0
-0.866165, -0.0449627, 0
-0.866165, 0.00360839, 0.0173579
-0.866165, 0.0521795, 0.0347158
-0.866165, 0.100751, 0.0173579
-0.866165, 0.149322, 0.0347158
-0.866165, 0.197893, 0.0347158
-0.866165, 0.246464, 0.156221
-0.866165, 0.295035, 0.0520737
-0.866165, 0.343606, 0.121505
-0.866165, 0.392177, 0.0520737
-0.866165, 0.440749, 0.0347158
-0.866165, 0.48932, 0.0694315
-0.866165, 0.537891, 0.0347158
-0.866165, 0.586462, 0
-0.866165, 0.635033, 0.0173579
-0.866165, 0.683604, 0
-0.866165, 0.732175, 0
-0.866165, 0.780747, 0
-0.866165, 0.829318, 0
-0.866165, 0.877889, 0
-0.866165, 0.92646, 0
-0.866165, 0.975031, 0
-0.816486, -0.919243, 0
-0.816486, -0.870672, 0
-0.816486, -0.822101, 0
-0.816486, -0.77353, 0
-0.816486, -0.724959, 0
-0.816486, -0.676387, 0
-0.816486, -0.627816, 0
-0.816486, -0.579245, 0
-0.816486, -0.530674, 0
-0.816486, -0.482103, 0
-0.816486, -0.433532, 0
-0.816486, -0.384961, 0
-0.816486, -0.33639, 0
-0.816486, -0.287818, 0
-0.816486, -0.239247, 0
-0.816486, -0.190676, 0.0347158
-0.816486, -0.142105, 0
-0.816486, -0.0935339, 0.0867894
-0.816486, -0.0449627, 0.0520737
-0.816486, 0.00360839, 0.0694315
-0.816486, 0.0521795, 0.173579
-0.816486, 0.100751, 0.24301
-0.816486, 0.149322, 0.24301
-0.816486, 0.197893, 0.295084
-0.816486, 0.246464, 0.3298
-0.816486, 0.295035, 0.190937
-0.816486, 0.343606, 0.312442
-0.816486, 0.392177, 0.277726
-0.816486, 0.440749, 0.208295
-0.816486, 0.48932, 0.121505
-0.816486, 0.537891, 0.0694315
-0.816486, 0.586462, 0.0520737
-0.816486, 0.635033, 0.0347158
